topic,link,domain,published_date,title,lang
NATION,https://www.geo.tv/latest/301508-pm-imran-summons-ncc-meeting-to-discuss-reopening-of-businesses-schools,geo.tv,2020-08-06 08:27:00,"PM Imran summons NCC meeting to discuss reopening of businesses, schools",en
HEALTH,https://www.openaccessgovernment.org/alzheimers-disease-incurable-but-preventable/91965/,openaccessgovernment.org,2020-08-06 14:19:00,Alzheimer's disease: Incurable but preventable?,en
TECHNOLOGY,https://bizedge.co.nz/story/sony-s-wh-1000xm4-headphones-might-just-redefine-smart-audio,bizedge.co.nz,2020-08-12 20:01:41,Sony's WH-1000XM4 headphones might just redefine smart audio,en
NATION,https://www.stuff.co.nz/national/crime/122415068/two-female-teens-assaulted-in-two-separate-porirua-assaults,stuff.co.nz,2020-08-11 05:17:00,Two female teens assaulted in two separate Porirua assaults,en
HEALTH,https://cbs4local.com/news/local/5-year-old-el-paso-boy-spreading-giving-back-making-covid-19-care-packages-with-mom,cbs4local.com,2020-08-06 14:05:00,"5-year-old El Paso boy giving back, making COVID-19 care packages with mom",en
NATION,https://www.vox.com/policy-and-politics/2020/8/4/21352626/washington-state-primaries-house-2020-august-4,vox.com,2020-08-04 14:30:00,Washington state’s primaries reflect the perilous position of the national GOP,en
SPORTS,https://www.golfchannel.com/news/pga-championship-payout-what-each-player-including-collin-morikawa-took-home,golfchannel.com,2020-08-10 02:04:28,"PGA Championship payout: What each player, including Collin Morikawa, took home",en
TECHNOLOGY,https://www.firstpost.com/tech/news-analysis/google-maps-returns-to-apple-watch-will-be-compatible-with-apple-carplay-dashboard-8695911.html,firstpost.com,2020-08-11 12:05:24,Google Maps returns to Apple Watch; will be compatible with Apple CarPlay dashboard,en
SPORTS,https://www.forbes.com/sites/brianmazique/2020/08/17/nba-2k21-has-some-work-to-do-on-an-important-aspect-of-their-game/,forbes.com,2020-08-17 22:33:00,NBA 2K21 Has Some Work To Do On An Important Aspect Of The Upcoming Game,en
HEALTH,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30651-4/fulltext,thelancet.com,2020-08-17 22:35:14,COVID-19 and multisystem inflammatory syndrome in children and adolescents,en
BUSINESS,https://bulletinline.com/2020/08/16/global-pharmaceutical-agv-market-2020-to-witness-huge-growth-by-2026-top-key-players-daifuku-dematic-egemin-automation-jbt-meidensha-corecon-seegrid/,bulletinline.com,2020-08-16 18:05:00,"Global Pharmaceutical AGV Market 2020 to Witness Huge Growth by 2026 | Top Key Players; Daifuku, Dematic, Egemin Automation, JBT, Meidensha, Corecon, Seegrid",en
ENTERTAINMENT,https://www.express.co.uk/news/royal/1320401/Royal-news-Meghan-Markle-Prince-Harry-Queen-reaction-royal-family-2020-Christopher-Wilson,express.co.uk,2020-08-08 15:39:00,Are Meghan and Harry's antics final nail in the coffin for Queen? asks CHRISTOPHER WILSON,en
